amostra,ph,temperatura,concentracao
A01,6.8,25.2,0.15
A02,7.1,26.5,0.18
A03,6.5,24.9,0.14
A04,6.9,25.8,0.16
A05,7.0,26.0,0.17
A06,6.7,25.1,0.15
A07,7.2,26.8,0.19
A08,6.4,24.5,0.13
A09,6.9,25.5,0.16
A10,7.1,26.2,0.18
A11,6.6,25.0,0.14
A12,6.8,25.3,0.15
A13,7.0,26.1,0.17
A14,7.3,27.0,0.20
A15,6.5,24.8,0.14
A16,6.9,25.7,0.16
A17,7.1,26.4,0.18
A18,6.7,25.2,0.15
A19,6.4,24.6,0.13
A20,7.0,26.0,0.17
A21,7.2,26.7,0.19
A22,6.8,25.4,0.15
A23,6.6,25.1,0.14
A24,7.1,26.3,0.18
A25,6.9,25.6,0.16
A26,7.0,25.9,0.17
A27,6.5,24.7,0.14
A28,7.3,27.1,0.20
A29,6.7,25.3,0.15
A30,6.8,25.5,0.16
A31,7.1,26.5,0.18
A32,7.0,26.1,0.17
A33,6.4,24.4,0.12
A34,6.9,25.8,0.16
A35,7.2,26.9,0.19
A36,6.6,25.0,0.14
A37,6.8,25.2,0.15
A38,7.1,26.4,0.18
A39,7.0,26.0,0.17
A40,6.5,24.9,0.14
A41,6.9,25.7,0.16
A42,6.7,25.1,0.15
A43,7.2,26.6,0.19
A44,7.1,26.3,0.18
A45,6.4,24.5,0.13
A46,7.0,26.1,0.17
A47,6.8,25.4,0.15
A48,6.9,25.6,0.16
A49,6.6,25.0,0.14
A50,7.2,26.8,0.19
